seqnames	start	end	width	strand	Conc	Conc_WT	Conc_KO	Fold	p.value	FDR
chr12	58219025	58219588	564	*	5.75	2.34	6.5	-4.15	8.4e-18	4.91e-13
chr15	67103284	67103933	650	*	4.1	5.14	1.89	3.25	1.56e-12	4.56e-08
chr6	99368053	99368379	327	*	3.39	4.46	0.81	3.65	1.06e-10	2.07e-06
chr2	153045703	153046091	389	*	4.07	5.1	1.86	3.24	2.4e-10	2.9e-06
chr12	14086383	14087193	811	*	5.77	3.58	6.43	-2.85	2.48e-10	2.9e-06
chr12	97603232	97603735	504	*	4	-0.13	4.77	-4.9	2.99e-10	2.92e-06
chr1	102357834	102358501	668	*	5.17	2.78	5.85	-3.08	4.29e-10	3.59e-06
chr3	64197731	64198489	759	*	5.15	2.73	5.84	-3.1	1.01e-09	6.75e-06
chr17	18558373	18559399	1027	*	5.83	4.04	6.44	-2.4	1.04e-09	6.75e-06
chr17	76111596	76112161	566	*	3.8	-0.05	4.57	-4.62	2.38e-09	1.39e-05
chr11	96822708	96823117	410	*	3.94	4.96	1.84	3.12	4.65e-09	2.47e-05
chr17	18947005	18947755	751	*	4.18	1.16	4.91	-3.75	7.33e-09	3.57e-05
chr12	57972500	57973180	681	*	3.55	0.66	4.27	-3.61	1.63e-08	7.32e-05
chr5	38598462	38599131	670	*	4.38	1.73	5.08	-3.36	1.81e-08	7.54e-05
chr2	134271339	134271917	579	*	3.56	-0.37	4.33	-4.7	3.65e-08	0.000142
chr2	150307201	150307486	286	*	4.23	2.24	4.87	-2.63	4.21e-08	0.000154
chr17	87766106	87766392	287	*	2.7	3.83	-0.55	4.39	5.41e-08	0.000186
chr13	38948044	38948542	499	*	3.92	4.89	2.08	2.81	6.56e-08	0.000193
chr8	83611959	83612267	309	*	3.5	4.45	1.73	2.72	6.82e-08	0.000193
chr6	129030036	129030816	781	*	4.38	5.28	2.85	2.43	6.83e-08	0.000193
chr11	34424190	34424553	364	*	2.75	3.87	-0.26	4.13	6.94e-08	0.000193
chr1	166516546	166517378	833	*	4.56	2.52	5.2	-2.68	7.44e-08	0.000198
chr9	31844675	31845268	594	*	2.22	3.37	-1.39	4.77	9.46e-08	0.000241
chr3	55088375	55088693	319	*	2.13	3.28	-1.39	4.66	1.4e-07	0.00034
chr17	18458055	18458696	642	*	3.35	0.29	4.08	-3.79	1.49e-07	0.000349
chr13	30460511	30460967	457	*	3.61	0.8	4.33	-3.53	1.69e-07	0.00038
