PeakID (cmd=annotatePeaks.pl /exports/humgen/jihed/Coordinate_TOKEEP/atac_peaks/ATAC_Veronica_DN1/DN1_KO_more_accessible_allvsall.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr15-60151274-1	chr15	60150962	60151587	+	66.00	NA	Intergenic	Intergenic	-134656	NM_027668	71088	Mm.425950	NM_027668	ENSMUSG00000071749	4933412E24Rik	-	RIKEN cDNA 4933412E24 gene	protein-coding
Merged-chr7-122867946-1	chr7	122867754	122868139	+	48.40	NA	Intergenic	Intergenic	102513	NR_045614	73951	Mm.389936	NR_045614		4930413G21Rik	-	RIKEN cDNA 4930413G21 gene	ncRNA
Merged-chr1-70279541-1	chr1	70279411	70279672	+	48.40	NA	intron (NM_025728, intron 3 of 7)	ORR1E|LTR|ERVL-MaLR	327926	NM_025728	66722	Mm.440554	NM_025728	ENSMUSG00000053153	Spag16	4921511D23Rik|4930524F24Rik|4930585K05Rik|AV261009|Pf20|Wdr29	sperm associated antigen 16	protein-coding
Merged-chr1-18271086-1	chr1	18270846	18271328	+	45.60	NA	Intergenic	Lx8|LINE|L1	-5949	NM_001040027	77673	Mm.99530	NM_183124	ENSMUSG00000067773	Defb41	9230102D03Rik|BD-17|Bd-41|Defb16|Defb17|Gm15386	defensin beta 41	protein-coding
Merged-chr12-68115943-2	chr12	68115715	68116097	+	40.80	NA	Intergenic	RLTR9A4|LTR|ERVK	-893357	NM_207010	320772	Mm.227680	NM_207010	ENSMUSG00000034912	Mdga2	6720489L24Rik|9330209L04Rik|Adp|Mamdc1|Tg(Prnp-PFN1*G118V)838Kiaei	MAM domain containing glycosylphosphatidylinositol anchor 2	protein-coding
Merged-chr17-62287376-2	chr17	62287260	62287549	+	40.40	NA	Intergenic	Intergenic	593913	NM_010109	13640	Mm.7978	NM_010109	ENSMUSG00000048915	Efna5	AL-1|AV158822|EFL-5|Ephrin-A5|Epl7|LERK-7|RAGS	ephrin A5	protein-coding
Merged-chr4-24669243-2	chr4	24668987	24669472	+	39.40	NA	intron (NM_001033531, intron 5 of 9)	intron (NM_001033531, intron 5 of 9)	172778	NR_149739	212377	Mm.120919	NM_199467	ENSMUSG00000045751	Mms22l	F730047E07Rik|Gm134	MMS22-like, DNA repair protein	protein-coding
Merged-chr7-140443213-1	chr7	140443103	140443324	+	37.60	NA	Intergenic	RLTR22_Mur|LTR|ERVK	-22990	NM_001011815	258056	Mm.376119	NM_001011815	ENSMUSG00000056883	Olfr533	MOR252-3P	olfactory receptor 533	protein-coding
Merged-chr7-44124067-1	chr7	44123933	44124203	+	36.00	NA	Intergenic	RLTR45|LTR|ERVK	11395	NM_010114	13646	Mm.5193	NM_010114	ENSMUSG00000060177	Klk1b22	EGF-BP A|Egfbp-1|Egfbp1|Klk22|mGk-22	kallikrein 1-related peptidase b22	protein-coding
Merged-chr5-59470117-1	chr5	59470019	59470216	+	34.40	NA	Intergenic	L1_Mus2|LINE|L1	515885	NR_040682	71057	Mm.50817	NR_040682	ENSMUSG00000106013	4933402J10Rik	-	RIKEN cDNA 4933402J10 gene	ncRNA
Merged-chr7-58585696-1	chr7	58585598	58585795	+	33.20	NA	Intergenic	Intergenic	-72506	NM_009728	11982	Mm.135129	NM_009728	ENSMUSG00000025324	Atp10a	Atp10c|pfatp	ATPase, class V, type 10A	protein-coding
Merged-chr7-91544802-1	chr7	91544736	91544869	+	32.40	NA	intron (NM_011807, intron 2 of 22)	intron (NM_011807, intron 2 of 22)	454016	NM_011807	23859	Mm.147213	NM_011807	ENSMUSG00000052572	Dlg2	A330103J02Rik|B230218P12Rik|B330007M19Rik|Dlgh2|Gm1197|Gm21505|PSD93	discs large MAGUK scaffold protein 2	protein-coding
Merged-chr14-37522822-2	chr14	37522690	37522942	+	31.60	NA	Intergenic	Intergenic	-387494	NM_078478	66092	Mm.182912	NM_078478	ENSMUSG00000041028	Ghitm	1010001P14Rik|C77840|MICS1|PTD010|Tmbim5	growth hormone inducible transmembrane protein	protein-coding
Merged-chr13-83072270-1	chr13	83072208	83072333	+	31.20	NA	Intergenic	Intergenic	-373937	NR_039537	100628621		NR_039537	ENSMUSG00000106655	Mir3961	mmu-mir-3961	microRNA 3961	ncRNA
