PeakID (cmd=annotatePeaks.pl /exports/humgen/jihed/Coordinate_TOKEEP/atac_peaks/ATAC_Veronica_DN1/DN1_KO_less_accessible_Diffbind.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
lessaccessible52	chr19	40788497	40788918	+	0	NA	Intergenic	Intergenic	-42572	NM_172839	240665	Mm.309	NM_172839	ENSMUSG00000025010	Ccnj	D430039C20Rik	cyclin J	protein-coding
lessaccessible46	chr11	56063762	56063978	+	0	NA	Intergenic	Intergenic	-22883	NM_153079	216749	Mm.213205	NM_153079	ENSMUSG00000037393	Nmur2	Nmu2r	neuromedin U receptor 2	protein-coding
lessaccessible76	chr5	120139199	120139506	+	0	NA	promoter-TSS (NR_045793)	promoter-TSS (NR_045793)	-89	NR_045793	100503427	Mm.446834	NR_045793	ENSMUSG00000097368	Gm10390	-	predicted gene 10390	ncRNA
lessaccessible99	chr12	8458359	8458776	+	0	NA	Intergenic	Intergenic	41442	NM_007483	11852	Mm.687	NM_007483	ENSMUSG00000054364	Rhob	AA017882|Arh6|Arhb	ras homolog family member B	protein-coding
lessaccessible33	chr5	146711717	146711942	+	0	NA	Intergenic	MER74A|LTR|ERVL	83127	NM_011669	22217	Mm.167971	NM_011669	ENSMUSG00000029640	Usp12	Ubh1	ubiquitin specific peptidase 12	protein-coding
lessaccessible92	chr4	148914905	148915382	+	0	NA	intron (NM_027195, intron 4 of 15)	intron (NM_027195, intron 4 of 15)	25796	NR_161310	69743	Mm.233879	NM_027195	ENSMUSG00000028977	Casz1	2410019P08Rik|AV096627|BC040081|Cst|D4Ertd432e	castor zinc finger 1	protein-coding
lessaccessible96	chr11	21644222	21644636	+	0	NA	intron (NM_001364768, intron 1 of 16)	intron (NM_001364768, intron 1 of 16)	72148	NM_001364768	216560	Mm.138090	NM_145425	ENSMUSG00000020319	Wdpcp	AV249152|Frtz|homolog-13	WD repeat containing planar cell polarity effector	protein-coding
lessaccessible84	chr5	25092661	25093051	+	0	NA	intron (NM_145401, intron 1 of 15)	intron (NM_145401, intron 1 of 15)	7786	NM_145401	108099	Mm.33649	NM_145401	ENSMUSG00000028944	Prkag2	2410051C13Rik|AAKG|AAKG2|AI854673|H91620p|WPWS	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	protein-coding
lessaccessible77	chr2	90021354	90021923	+	0	NA	exon (NM_021368, exon 1 of 1)	exon (NM_021368, exon 1 of 1)	426	NM_021368	258206	Mm.377377	NM_021368	ENSMUSG00000075069	Olfr1264	MOR236-1|Mor16|Ors16	olfactory receptor 1264	protein-coding
lessaccessible81	chr12	19387314	19388247	+	0	NA	Intergenic	CpG	873270	NM_001201330	236366	Mm.352227	NM_001033157	ENSMUSG00000073197	5730507C01Rik	-	RIKEN cDNA 5730507C01 gene	protein-coding
lessaccessible55	chr7	125561197	125561507	+	0	NA	intron (NM_001008700, intron 1 of 10)	intron (NM_001008700, intron 1 of 10)	9081	NM_001363983	16190	Mm.233802	NM_001008700	ENSMUSG00000030748	Il4ra	CD124|Il4r	interleukin 4 receptor, alpha	protein-coding
lessaccessible25	chr11	96822709	96823117	+	0	NA	intron (NM_001130450, intron 2 of 4)	intron (NM_001130450, intron 2 of 4)	1018	NM_001361682	18023	Mm.6743	NM_008686	ENSMUSG00000038615	Nfe2l1	AA408798|AW212678|LCR-F1|Lcrf1|NRF1|TCF-11|TCF11	nuclear factor, erythroid derived 2,-like 1	protein-coding
lessaccessible10	chr2	29718664	29718955	+	0	NA	intron (NM_001039087, intron 12 of 25)	intron (NM_001039087, intron 12 of 25)	32848	NM_001370923	433415	Mm.359309	NM_001370923	ENSMUSG00000079497	Gm13420	Dspd2	predicted gene 13420	protein-coding
lessaccessible83	chr12	19288248	19289112	+	0	NA	Intergenic	CpG	774170	NM_001201330	236366	Mm.352227	NM_001033157	ENSMUSG00000073197	5730507C01Rik	-	RIKEN cDNA 5730507C01 gene	protein-coding
