PeakID (cmd=annotatePeaks.pl /exports/humgen/jihed/Coordinate_TOKEEP/atac_peaks/ATAC_Veronica_DN1/DN1_KO_More_accessible_Diffbind.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
moreaccessible159	chr4	69058075	69058952	+	0	NA	Intergenic	Intergenic	-104116	NM_019967	56710	Mm.248788	NM_019967	ENSMUSG00000028351	Brinp1	BRINP|Dbc1|Dbccr1|Fam5a	bone morphogenic protein/retinoic acid inducible neural specific 1	protein-coding
moreaccessible59	chr3	64197732	64198489	+	0	NA	Intergenic	Intergenic	-60630	NM_001104592	100125586	Mm.469888	NM_001104592	ENSMUSG00000043897	Vmn2r2	-	vomeronasal 2, receptor 2	protein-coding
moreaccessible182	chr15	72323092	72323588	+	0	NA	Intergenic	ORR1C1|LTR|ERVL-MaLR	224359	NM_001033876	223604	Mm.184971	NM_001033876	ENSMUSG00000036760	Kcnk9	A930009L07Rik|Task3	potassium channel, subfamily K, member 9	protein-coding
moreaccessible72	chr2	43739430	43739852	+	0	NA	Intergenic	Intergenic	-9183	NM_001301832	76117	Mm.217350	NM_153820	ENSMUSG00000049744	Arhgap15	5830480G12Rik	Rho GTPase activating protein 15	protein-coding
moreaccessible63	chr16	40620972	40621621	+	0	NA	intron (NM_001361281, intron 1 of 8)	RLTR45|LTR|ERVK	636932	NM_001361282	268890	Mm.310524	NM_175548	ENSMUSG00000061080	Lsamp	5430428I19|AW046674|B130007O04Rik|D930023J12Rik|Gm29907|Lam|Lamp	limbic system-associated membrane protein	protein-coding
moreaccessible181	chr12	58268039	58269153	+	0	NA	exon (NM_025809, exon 1 of 1)	exon (NM_025809, exon 1 of 1)	662	NM_025809	66864	Mm.280563	NM_025809	ENSMUSG00000045930	Clec14a	1200003C23Rik|AI642649	C-type lectin domain family 14, member a	protein-coding
moreaccessible53	chr17	19435048	19435336	+	0	NA	Intergenic	RLTR50A|LTR|ERVK	-69619	NM_001104562	627537	Mm.469858	NM_001104562	ENSMUSG00000091859	Vmn2r100	EG627537	vomeronasal 2, receptor 100	protein-coding
moreaccessible85	chr14	8680258	8680850	+	0	NA	Intergenic	RLTR45|LTR|ERVK	14164	NR_045968	74859	Mm.84041	NR_045968	ENSMUSG00000097898	4930455B14Rik	1700027C12Rik	RIKEN cDNA 4930455B14 gene	ncRNA
moreaccessible179	chr7	7277450	7278558	+	0	NA	intron (NR_003555, intron 1 of 6)	CpG	285	NR_003555	76229	Mm.387947	NM_001113468	ENSMUSG00000095730	Vmn2r29	6430701C03Rik	vomeronasal 2, receptor 29	protein-coding
moreaccessible77	chr5	80819082	80819713	+	0	NA	Intergenic	Intergenic	-201174	NM_001347368	319387	Mm.273631	NM_198702	ENSMUSG00000037605	Adgrl3	5430402I23Rik|CIRL-3|D130075K09Rik|Gm1379|LEC3|Lphn3|mKIAA0768	adhesion G protein-coupled receptor L3	protein-coding
moreaccessible90	chr16	70797970	70798461	+	0	NA	Intergenic	RLTR9A|LTR|ERVK	181790	NR_040474	52645	Mm.188475	NR_040474	ENSMUSG00000116792	D16Ertd519e	-	DNA segment, Chr 16, ERATO Doi 519, expressed	ncRNA
moreaccessible23	chr17	18947006	18947755	+	0	NA	exon (NM_001104549, exon 6 of 6)	exon (NM_001104549, exon 6 of 6)	33058	NM_001104549	627367	Mm.384131	NM_001104549	ENSMUSG00000091491	Vmn2r97	EG627367|Vn2r97	vomeronasal 2, receptor 97	protein-coding
moreaccessible20	chr14	16721412	16721802	+	0	NA	intron (NM_001289760, intron 2 of 9)	RLTR45|LTR|ERVK	-146131	NM_001289762	218772	Mm.259318	NM_011243	ENSMUSG00000017491	Rarb	A830025K23|Hap|Nr1b2	retinoic acid receptor, beta	protein-coding
moreaccessible133	chr9	40997186	40997625	+	0	NA	intron (NM_001281954, intron 1 of 9)	intron (NM_001281954, intron 1 of 9)	7223	NM_001281954	54698	Mm.42791	NM_019465	ENSMUSG00000032021	Crtam	-	cytotoxic and regulatory T cell molecule	protein-coding
moreaccessible55	chr16	77173280	77173668	+	0	NA	Intergenic	Intergenic	-155854	NR_015543	77994	Mm.394688	NR_015543	ENSMUSG00000090386	Mir99ahg	2810055G20Rik|D730043B02Rik	Mir99a and Mirlet7c-1 host gene (non-protein coding)	ncRNA
moreaccessible52	chr10	6717230	6717880	+	0	NA	Intergenic	Intergenic	-41038	NM_001302794	18390	Mm.438000	NM_011013	ENSMUSG00000000766	Oprm1	M-OR-1|MOP-R|MOR-1|MOR-1O|Oprm|mor|muOR	opioid receptor, mu 1	protein-coding
moreaccessible41	chrX	147235954	147236311	+	0	NA	Intergenic	RLTR45|LTR|ERVK	77922	NR_029956	723914		NR_029956	ENSMUSG00000065450	Mir448	Mirn448|mir-448|mmu-mir-448	microRNA 448	ncRNA
moreaccessible89	chr14	86011223	86011846	+	0	NA	Intergenic	Intergenic	-234436	NR_040457	75155	Mm.399239	NR_040457	ENSMUSG00000115271	4930529K09Rik	4930507G21Rik	RIKEN cDNA 4930529K09 gene	ncRNA
moreaccessible143	chr9	124075887	124076432	+	0	NA	Intergenic	L1_Mur2|LINE|L1	-26024	NM_009915	12772	Mm.6272	NM_009915	ENSMUSG00000049103	Ccr2	Cc-ckr-2|Ccr2a|Ccr2b|Ckr2|Ckr2a|Ckr2b|Cmkbr2|mJe-r	chemokine (C-C motif) receptor 2	protein-coding
moreaccessible12	chr16	70725636	70725954	+	0	NA	Intergenic	L3|LINE|CR1	109370	NR_040474	52645	Mm.188475	NR_040474	ENSMUSG00000116792	D16Ertd519e	-	DNA segment, Chr 16, ERATO Doi 519, expressed	ncRNA
moreaccessible177	chr15	81859617	81860215	+	0	NA	Intergenic	Intergenic	-1590	NM_020507	57259	Mm.323595	NM_020507	ENSMUSG00000048546	Tob2	2900090N22Rik|4930545K18Rik|AV071822|mKIAA1663	transducer of ERBB2, 2	protein-coding
moreaccessible101	chr17	73853802	73854097	+	0	NA	Intergenic	Intergenic	49108	NM_020578	57440	Mm.18526	NM_020578	ENSMUSG00000024065	Ehd3	Ehd2	EH-domain containing 3	protein-coding
moreaccessible81	chr4	145305752	145306274	+	0	NA	intron (NM_009401, intron 1 of 12)	intron (NM_009401, intron 1 of 12)	9151	NM_009401	21941	Mm.12810	NM_009401	ENSMUSG00000028602	Tnfrsf8	Cd30|D1S166E|Ki|Ki-1	tumor necrosis factor receptor superfamily, member 8	protein-coding
moreaccessible95	chr3	138275096	138275407	+	0	NA	Intergenic	Intergenic	-2334	NM_007409	11522	Mm.2409	NM_007409	ENSMUSG00000074207	Adh1	ADH-A2|ADH-AA|AI194826|Adh-1|Adh-1-t|Adh-1e|Adh-1t|Adh-3e|Adh1-e|Adh1-t|Adh1tl|Adh3-e	alcohol dehydrogenase 1 (class I)	protein-coding
moreaccessible37	chr13	30460512	30460967	+	0	NA	Intergenic	RLTR45|LTR|ERVK	84577	NM_025710	66694	Mm.181933	NM_025710	ENSMUSG00000038462	Uqcrfs1	4430402G14Rik|AI875505	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	protein-coding
moreaccessible167	chr8	48122780	48123337	+	0	NA	intron (NM_178788, intron 3 of 5)	intron (NM_178788, intron 3 of 5)	13045	NM_001161515	320685	Mm.121549	NM_178788	ENSMUSG00000031562	Dctd	6030466N05Rik	dCMP deaminase	protein-coding
moreaccessible8	chr2	133684212	133684656	+	0	NA	Intergenic	MTC|LTR|ERVL-MaLR	119726	NR_037273	100526500		NR_037273	ENSMUSG00000093338	Mir3090	mmu-mir-3090	microRNA 3090	ncRNA
moreaccessible114	chr9	68956309	68957367	+	0	NA	intron (NM_013646, intron 1 of 10)	intron (NM_013646, intron 1 of 10)	191492	NR_033299	320440	Mm.483129	NM_177159		9530091C08Rik	-	RIKEN cDNA 9530091C08 gene	ncRNA
moreaccessible49	chr1	145138564	145139538	+	0	NA	Intergenic	Intergenic	-363624	NM_022881	64214	Mm.253927	NM_022881	ENSMUSG00000026357	Rgs18	-	regulator of G-protein signaling 18	protein-coding
moreaccessible173	chr11	104361558	104362078	+	0	NA	intron (NM_001359634, intron 5 of 14)	RLTR19|LTR|ERVK	80473	NM_001081045	76719	Mm.136418	NM_001081045	ENSMUSG00000018412	Kansl1	1700081L11Rik|9430041J06Rik|mKIAA1267	KAT8 regulatory NSL complex subunit 1	protein-coding
moreaccessible160	chr11	83271020	83272715	+	0	NA	Intergenic	Intergenic	14859	NM_001166028	237890	Mm.297670	NM_001166028	ENSMUSG00000082101	Slfn14	Gm20|Slfn14-ps	schlafen 14	protein-coding
moreaccessible39	chr10	27769369	27769937	+	0	NA	Intergenic	MTE2b|LTR|ERVL-MaLR	-152711	NM_008481	16773	Mm.256087	NM_008481	ENSMUSG00000019899	Lama2	5830440B04|dy|mKIAA4087|mer|merosin	laminin, alpha 2	protein-coding
moreaccessible10	chr5	37523010	37523617	+	0	NA	intron (NM_022416, intron 4 of 11)	intron (NM_022416, intron 4 of 11)	184835	NM_145920	68525	Mm.25506	NM_145920	ENSMUSG00000050248	Evc2	1110017L09Rik|Lbn|limbin	EvC ciliary complex subunit 2	protein-coding
moreaccessible75	chr9	85671475	85672243	+	0	NA	Intergenic	Intergenic	77475	NM_175371	108837	Mm.22315	NM_175371	ENSMUSG00000035941	Ibtk	5430411K16Rik|AA409502|BTKI|mKIAA1417	inhibitor of Bruton agammaglobulinemia tyrosine kinase	protein-coding
