PeakID (cmd=annotatePeaks.pl Tcf7_less_coordinates.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
115	chr2	49735143	49735344	+	0	NA	intron (NM_008449, intron 15 of 25)	intron (NM_008449, intron 15 of 25)	-52443	NM_027990	71897	Mm.41381	NM_027990	ENSMUSG00000026765	Lypd6b	2310010M24Rik|AW049525	LY6/PLAUR domain containing 6B	protein-coding
145	chr4	120914425	120914710	+	0	NA	Intergenic	ID_B1|SINE|B4	10438	NM_001160043	73172	Mm.151436	NM_028457	ENSMUSG00000028629	Exo5	3110037I16Rik|AV297100|Dem1|Exo V|mExo5	exonuclease 5	protein-coding
137	chr3	143016773	143017466	+	0	NA	Intergenic	Intergenic	-13495	NM_029164	102636203	Mm.416931	NM_029164		4930519L02Rik	-	RIKEN cDNA 4930519L02 gene	protein-coding
8	chr1	193590406	193590677	+	0	NA	Intergenic	Intergenic	-83011	NR_029592	387201		NR_029592	ENSMUSG00000065533	Mir205	Mirn205|mir-205|mmu-mir-205	microRNA 205	ncRNA
195	chr9	75546963	75547182	+	0	NA	intron (NM_001357828, intron 1 of 10)	intron (NM_001357828, intron 1 of 10)	12585	NM_001357828	50875	Mm.38445	NM_016963	ENSMUSG00000058587	Tmod3	U-Tmod|UTMOD	tropomodulin 3	protein-coding
192	chr9	70403300	70403498	+	0	NA	Intergenic	Intergenic	2354	NR_049200	100885839		NR_049200	ENSMUSG00000093763	Mir5626	Gm25590|mir-5626|mmu-mir-5626	microRNA 5626	ncRNA
58	chr13	47056882	47057045	+	0	NA	intron (NM_172262, intron 6 of 20)	intron (NM_172262, intron 6 of 20)	13464	NM_172262	218214	Mm.31259	NM_172262	ENSMUSG00000038080	Kdm1b	4632428N09Rik|AI482520|Aof1	lysine (K)-specific demethylase 1B	protein-coding
94	chr17	6055994	6056190	+	0	NA	intron (NM_001360148, intron 10 of 15)	intron (NM_001360148, intron 10 of 15)	23647	NM_001360148	321007	Mm.5548	NM_177311	ENSMUSG00000015659	Serac1	4930511N22Rik|D17Ertd141e	serine active site containing 1	protein-coding
157	chr5	35774049	35774237	+	0	NA	intron (NM_177678, intron 1 of 19)	intron (NM_177678, intron 1 of 19)	16263	NM_001177699	231148	Mm.254446	NM_177678	ENSMUSG00000029095	Ablim2	AI606905|C230091L11	actin-binding LIM protein 2	protein-coding
116	chr2	77176583	77176750	+	0	NA	Intergenic	Intergenic	-6031	NM_001025576	545428	Mm.26579	NM_001025576	ENSMUSG00000044033	Ccdc141	2610301F02Rik|CAMDI	coiled-coil domain containing 141	protein-coding
23	chr10	120780754	120781031	+	0	NA	TTS (NM_177092)	TTS (NM_177092)	15160	NR_038000	70874	Mm.427286	NR_038000	ENSMUSG00000044544	4921513I03Rik	-	RIKEN cDNA 4921513I03 gene	ncRNA
150	chr4	137748821	137749087	+	0	NA	intron (NM_001287172, intron 7 of 11)	intron (NM_001287172, intron 7 of 11)	17521	NM_001287172	11647	Mm.288186	NM_007431	ENSMUSG00000028766	Alpl	ALP|APTNAP|Akp-2|Akp2|TNAP|TNSALP	alkaline phosphatase, liver/bone/kidney	protein-coding
67	chr14	76912797	76912990	+	0	NA	Intergenic	Intergenic	123724	NM_172488	210808	Mm.89278	NM_172488	ENSMUSG00000044350	Lacc1	9030625A04Rik	laccase domain containing 1	protein-coding
7	chr1	176853261	176853457	+	0	NA	intron (NR_151682, intron 8 of 16)	intron (NR_151682, intron 8 of 16)	-17226	NR_037996	15365	Mm.441435	NR_037996		Hmga2-ps1	EG666235|Gm7996|Hmgic-ps1|[y]i-c	high mobility group AT-hook 2, pseudogene 1	pseudo
65	chr14	119451750	119452032	+	0	NA	intron (NM_015820, intron 1 of 1)	MT2A|LTR|ERVL	-297336	NR_045621	75432	Mm.443277	NR_045621	ENSMUSG00000100274	1700006F04Rik	-	RIKEN cDNA 1700006F04 gene	ncRNA
