# HOMER Differential Peaks
# Original Peak File = /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1_WT_KO_merged_peaks.txt
# Peak File Tag Directory = /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1WT
# Background Tag Directory = /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1KO
#
# Mode = Peaks enriched over background
# Differential peaks = 1729
# Fraction of original peaks = 1.99%
# Original number of peaks = 86750
# Size of region used to count tags = given peak sizes (-fixed)
# Fold change cutoff = 4.00
# Poisson p-value cutoff = 1.00e-04
# strand = 2 (tags counted on 0=+strand, 1=-strand, 2=both strands)
# peak directory tagAdjust = 66
# background directory tagAdjust = 190
#
# cmd = getDifferentialPeaks /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1_WT_KO_merged_peaks.txt /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1WT /exports/humgen/jihed/Snakemake_ChIP_seq_pipeline/results/mapped/DN1_ATAC/DN1KO
#
#PeakID	chr	start	end	strand	score	focus ratio/other	Total Tags	Background Tags	Fold Change vs. Background	p-value
Merged-chr1-4936092-1	chr1	4936026	4936158	+	0.000	0.000	12.0	2.8	4.29	3.74e-05
Merged-chr1-9676225-1	chr1	9676139	9676312	+	0.000	0.000	10.5	1.4	7.50	2.25e-06
Merged-chr1-9780461-1	chr1	9780379	9780543	+	0.000	0.000	8.0	1.0	8.00	1.03e-05
Merged-chr1-10294875-1	chr1	10294792	10294958	+	0.000	0.000	9.5	1.2	7.92	4.86e-06
Merged-chr1-10304651-1	chr1	10304596	10304706	+	0.000	0.000	23.0	3.4	6.76	2.52e-12
Merged-chr1-14987967-2	chr1	14987858	14988063	+	0.000	0.000	24.5	5.6	4.37	6.94e-09
Merged-chr1-15117471-1	chr1	15117395	15117547	+	0.000	0.000	11.0	1.4	7.86	2.83e-07
Merged-chr1-16019285-1	chr1	16019224	16019346	+	0.000	0.000	10.0	1.0	10.00	1.11e-07
Merged-chr1-16023222-1	chr1	16023092	16023353	+	0.000	0.000	12.5	2.4	5.21	8.46e-06
Merged-chr1-24770412-1	chr1	24770319	24770506	+	0.000	0.000	10.0	1.2	8.33	5.77e-07
Merged-chr1-25047701-1	chr1	25047597	25047806	+	0.000	0.000	7.0	0.6	11.67	3.05e-06
Merged-chr1-28714677-1	chr1	28714585	28714769	+	0.000	0.000	10.0	1.4	7.14	2.25e-06
Merged-chr1-30839979-2	chr1	30839880	30840076	+	0.000	0.000	22.0	4.4	5.00	1.93e-09
Merged-chr1-32876296-1	chr1	32876230	32876362	+	0.000	0.000	16.5	3.4	4.85	6.34e-07
Merged-chr1-33436459-3	chr1	33436243	33436730	+	0.000	0.000	43.0	7.4	5.81	2.90e-19
Merged-chr1-33564268-1	chr1	33564189	33564348	+	0.000	0.000	51.0	7.4	6.89	9.87e-26
Merged-chr1-34230521-1	chr1	34230375	34230668	+	0.000	0.000	6.5	0.4	16.25	3.81e-06
Merged-chr1-34974954-1	chr1	34974884	34975025	+	0.000	0.000	5.0	0.2	25.00	2.18e-06
Merged-chr1-35829389-1	chr1	35829272	35829506	+	0.000	0.000	12.5	1.8	6.94	4.63e-07
Merged-chr1-36132379-1	chr1	36132315	36132443	+	0.000	0.000	28.0	6.2	4.52	1.30e-10
Merged-chr1-36435299-2	chr1	36435201	36435468	+	0.000	0.000	27.0	4.6	5.87	8.67e-13
Merged-chr1-36831491-1	chr1	36831376	36831606	+	0.000	0.000	24.0	4.0	6.00	9.89e-12
Merged-chr1-36835776-1	chr1	36835698	36835855	+	0.000	0.000	33.5	5.0	6.70	1.06e-16
Merged-chr1-37233002-1	chr1	37232948	37233056	+	0.000	0.000	10.0	2.0	5.00	4.65e-05
Merged-chr1-37955413-1	chr1	37955334	37955493	+	0.000	0.000	15.0	3.4	4.41	3.03e-06
Merged-chr1-38207891-1	chr1	38207834	38207948	+	0.000	0.000	14.0	2.2	6.36	9.26e-08
Merged-chr1-38364293-1	chr1	38364219	38364368	+	0.000	0.000	11.0	1.8	6.11	3.13e-06
Merged-chr1-39840959-1	chr1	39840801	39841118	+	0.000	0.000	15.5	3.8	4.08	1.11e-05
Merged-chr1-40109417-1	chr1	40109336	40109498	+	0.000	0.000	11.0	2.4	4.58	4.31e-05
Merged-chr1-40407825-1	chr1	40407750	40407901	+	0.000	0.000	9.5	1.2	7.92	4.86e-06
Merged-chr1-40586030-2	chr1	40585837	40586193	+	0.000	0.000	29.0	6.4	4.53	5.72e-11
Merged-chr1-41022870-1	chr1	41022800	41022941	+	0.000	0.000	8.0	0.2	40.00	5.20e-11
Merged-chr1-46076059-1	chr1	46075943	46076176	+	0.000	0.000	6.0	0.4	15.00	3.81e-06
Merged-chr1-51371826-1	chr1	51371757	51371895	+	0.000	0.000	10.0	1.2	8.33	5.77e-07
Merged-chr1-52133338-1	chr1	52133248	52133429	+	0.000	0.000	16.5	2.4	6.87	6.11e-09
Merged-chr1-52874888-1	chr1	52874789	52874988	+	0.000	0.000	20.0	1.6	12.50	1.09e-15
Merged-chr1-54103284-1	chr1	54103164	54103404	+	0.000	0.000	22.0	2.2	10.00	3.73e-15
Merged-chr1-54401712-1	chr1	54401652	54401773	+	0.000	0.000	10.5	2.0	5.25	4.65e-05
Merged-chr1-56740934-1	chr1	56740876	56740993	+	0.000	0.000	8.0	1.2	6.67	3.70e-05
Merged-chr1-57462146-1	chr1	57462066	57462226	+	0.000	0.000	10.0	1.4	7.14	2.25e-06
Merged-chr1-57839936-3	chr1	57839577	57840289	+	0.000	0.000	48.0	10.8	4.44	8.48e-17
Merged-chr1-58124293-1	chr1	58124225	58124362	+	0.000	0.000	6.5	0.4	16.25	3.81e-06
Merged-chr1-58154766-1	chr1	58154662	58154871	+	0.000	0.000	13.0	2.6	5.00	3.63e-06
Merged-chr1-61670955-1	chr1	61670769	61671141	+	0.000	0.000	6.0	0.6	10.00	3.56e-05
Merged-chr1-65550187-1	chr1	65550133	65550241	+	0.000	0.000	10.5	1.8	5.83	1.94e-05
Merged-chr1-66223578-1	chr1	66223488	66223668	+	0.000	0.000	21.0	3.4	6.18	1.12e-10
Merged-chr1-69890978-1	chr1	69890884	69891072	+	0.000	0.000	23.0	3.6	6.39	7.76e-12
Merged-chr1-72491025-1	chr1	72490933	72491118	+	0.000	0.000	21.5	1.6	13.44	8.25e-17
Merged-chr1-73824489-1	chr1	73824382	73824597	+	0.000	0.000	47.5	11.0	4.32	7.39e-16
Merged-chr1-78461777-1	chr1	78461722	78461832	+	0.000	0.000	26.5	6.6	4.01	9.06e-09
Merged-chr1-83155335-1	chr1	83155279	83155391	+	0.000	0.000	14.0	2.2	6.36	9.26e-08
Merged-chr1-84192315-1	chr1	84192251	84192379	+	0.000	0.000	18.0	2.6	6.92	3.96e-10
Merged-chr1-84889565-1	chr1	84889459	84889671	+	0.000	0.000	30.5	6.6	4.62	2.51e-11
Merged-chr1-85155285-1	chr1	85155194	85155377	+	0.000	0.000	6.5	0.4	16.25	3.81e-06
Merged-chr1-86397933-1	chr1	86397878	86397989	+	0.000	0.000	19.0	2.4	7.92	1.42e-11
Merged-chr1-87297741-1	chr1	87297684	87297798	+	0.000	0.000	11.0	1.8	6.11	3.13e-06
Merged-chr1-89776355-1	chr1	89776256	89776455	+	0.000	0.000	16.0	2.4	6.67	6.11e-09
Merged-chr1-90451196-1	chr1	90451131	90451262	+	0.000	0.000	9.0	0.8	11.25	1.66e-07
Merged-chr1-91142557-1	chr1	91142491	91142624	+	0.000	0.000	10.0	2.0	5.00	4.65e-05
Merged-chr1-91781996-1	chr1	91781920	91782073	+	0.000	0.000	9.0	0.8	11.25	1.66e-07
Merged-chr1-92345502-1	chr1	92345397	92345608	+	0.000	0.000	18.0	2.6	6.92	3.96e-10
Merged-chr1-92782852-1	chr1	92782794	92782910	+	0.000	0.000	15.0	2.4	6.25	4.12e-08
Merged-chr1-96684133-1	chr1	96684014	96684253	+	0.000	0.000	16.5	2.6	6.35	1.83e-08
Merged-chr1-105813700-1	chr1	105813576	105813825	+	0.000	0.000	22.5	5.0	4.50	1.82e-08
Merged-chr1-105828182-1	chr1	105828092	105828272	+	0.000	0.000	39.5	9.2	4.29	2.49e-13
Merged-chr1-105858747-2	chr1	105858621	105858863	+	0.000	0.000	33.0	7.6	4.34	8.65e-12
Merged-chr1-106962330-2	chr1	106962071	106962588	+	0.000	0.000	48.5	10.6	4.58	4.20e-17
Merged-chr1-111726993-1	chr1	111726893	111727094	+	0.000	0.000	6.0	0.6	10.00	3.56e-05
Merged-chr1-118980838-2	chr1	118980694	118980977	+	0.000	0.000	39.5	5.0	7.90	6.88e-22
Merged-chr1-119004253-1	chr1	119004159	119004348	+	0.000	0.000	23.5	5.2	4.52	7.99e-09
Merged-chr1-119004487-1	chr1	119004370	119004605	+	0.000	0.000	37.5	5.8	6.47	4.59e-18
Merged-chr1-119050211-1	chr1	119050100	119050322	+	0.000	0.000	29.5	5.6	5.27	2.56e-12
Merged-chr1-119129175-1	chr1	119128991	119129359	+	0.000	0.000	28.5	5.4	5.28	5.85e-12
Merged-chr1-121128910-1	chr1	121128834	121128986	+	0.000	0.000	11.0	2.0	5.50	8.31e-06
