PeakID (cmd=annotatePeaks.pl /exports/humgen/jihed/Coordinate_TOKEEP/atac_peaks/ATAC_Veronica_DN1/DN1_KO_less_accessible_allvsall.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr3-54440166-1	chr3	54440090	54440243	+	82.49	NA	Intergenic	RMER1C|Other|Other	79059	NM_001313899	50706	Mm.236067	NM_015784	ENSMUSG00000027750	Postn	A630052E07Rik|AI747096|OSF-2|Osf2|PLF|PN	periostin, osteoblast specific factor	protein-coding
Merged-chr13-112325038-1	chr13	112324960	112325118	+	60.00	NA	intron (NM_001168405, intron 3 of 5)	intron (NM_001168405, intron 3 of 5)	36521	NM_001168404	77318	Mm.159895	NM_029898	ENSMUSG00000049985	Ankrd55	C030011J08Rik	ankyrin repeat domain 55	protein-coding
Merged-chr5-96453891-1	chr5	96453831	96453952	+	55.00	NA	intron (NM_175473, intron 2 of 73)	intron (NM_175473, intron 2 of 73)	79936	NM_175473	231470	Mm.291120	NM_175473	ENSMUSG00000034687	Fras1	E130113P14Rik|bl|mKIAA1500	Fraser extracellular matrix complex subunit 1	protein-coding
Merged-chr14-20356518-1	chr14	20356425	20356612	+	52.50	NA	intron (NM_172379, intron 4 of 11)	intron (NM_172379, intron 4 of 11)	8356	NM_001177633	105428	Mm.206990	NM_172379	ENSMUSG00000039599	Fam149b	AA536717|AI428773|Fam149b1|mKIAA0974	family with sequence similarity 149, member B	protein-coding
Merged-chr13-41685692-1	chr13	41685554	41685831	+	52.50	NA	Intergenic	Intergenic	79810	NM_001163572	621976	Mm.259830	NM_001163572	ENSMUSG00000087370	Tmem170b	EG621976	transmembrane protein 170B	protein-coding
Merged-chr5-116487622-1	chr5	116487553	116487692	+	50.00	NA	intron (NM_026886, intron 1 of 12)	intron (NM_026886, intron 1 of 12)	48900	NR_015595	76798	Mm.444322	NR_015595	ENSMUSG00000086219	Srrm4os	2410137F16Rik	serine/arginine repetitive matrix 4, opposite strand	ncRNA
Merged-chr9-43031050-1	chr9	43030973	43031129	+	50.00	NA	intron (NM_001359232, intron 4 of 40)	B3|SINE|B2	74667	NM_027144	69632	Mm.275266	NM_027144	ENSMUSG00000059495	Arhgef12	2310014B11Rik|AU019857|Larg|mKIAA0382	Rho guanine nucleotide exchange factor (GEF) 12	protein-coding
Merged-chr18-13127806-1	chr18	13127726	13127888	+	47.50	NA	Intergenic	ORR1A2-int|LTR|ERVL-MaLR	120817	NM_153087	225192	Mm.207073	NM_153087	ENSMUSG00000037346	Hrh4	AXOR35|BG26|GPCR105|GPRv53|H4|H4R|HH4R	histamine receptor H4	protein-coding
Merged-chr8-72117579-1	chr8	72117524	72117636	+	45.00	NA	Intergenic	MTB-int|LTR|ERVL-MaLR	10540	NM_146338	258335	Mm.377439	NM_146338	ENSMUSG00000046881	Olfr374	MOR130-1	olfactory receptor 374	protein-coding
Merged-chr5-121798320-1	chr5	121798242	121798399	+	45.00	NA	intron (NM_001359153, intron 17 of 23)	B1_Mur1|SINE|Alu	20953	NR_105998	102465624		NR_105998	ENSMUSG00000099063	Mir7031	Gm27859|mmu-mir-7031	microRNA 7031	ncRNA
