PeakID (cmd=annotatePeaks.pl runx1_less_accessible.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
176	chr8	72504727	72505093	+	0	NA	intron (NM_027485, intron 1 of 2)	intron (NM_027485, intron 1 of 2)	-12296	NM_177766	270066	Mm.291461	NM_177766	ENSMUSG00000019731	Slc35e1	6030458H05|AA408278	solute carrier family 35, member E1	protein-coding
43	chr2	117461532	117461851	+	0	NA	Intergenic	Intergenic	-118814	NM_011246	19419	Mm.42150	NM_011246	ENSMUSG00000027347	Rasgrp1	Rasgrp|calDAG-GEFII	RAS guanyl releasing protein 1	protein-coding
253	chr13	52923107	52923431	+	0	NA	intron (NM_016709, intron 1 of 9)	intron (NM_016709, intron 1 of 9)	6408	NM_016709	11992	Mm.252034	NM_016709	ENSMUSG00000021460	Auh	C77140|W91705	AU RNA binding protein/enoyl-coenzyme A hydratase	protein-coding
287	chr16	72670807	72671051	+	0	NA	intron (NM_019413, intron 1 of 28)	intron (NM_019413, intron 1 of 28)	7780	NM_019413	19876	Mm.310772	NM_019413	ENSMUSG00000022883	Robo1	AW494633|AW742721|DUTT1|Gm310	roundabout guidance receptor 1	protein-coding
235	chr13	9173416	9173808	+	0	NA	3' UTR (NM_172585, exon 18 of 18)	3' UTR (NM_172585, exon 18 of 18)	79731	NM_172585	217980	Mm.234944	NM_172585	ENSMUSG00000033499	Larp4b	A630096F19|AI256361|D13Wsu64e|Larp5	La ribonucleoprotein domain family, member 4B	protein-coding
334	chrX	99049167	99049513	+	0	NA	intron (NM_199018, intron 1 of 13)	intron (NM_199018, intron 1 of 13)	6759	NM_199018	236920	Mm.236928	NM_199018	ENSMUSG00000031216	Stard8	Dlc3|mKIAA0189	START domain containing 8	protein-coding
278	chr15	95922769	95922981	+	0	NA	intron (NM_175344, intron 8 of 19)	ORR1D2|LTR|ERVL-MaLR	-92803	NR_155276	102634389	Mm.440563	NR_155276	ENSMUSG00000078648	LOC102634389	-	uncharacterized LOC102634389	ncRNA
91	chr4	83917034	83917327	+	0	NA	Intergenic	Intergenic	127699	NR_130998	78238	Mm.243903	NR_130998	ENSMUSG00000085217	6030471H07Rik	-	RIKEN cDNA 6030471H07 gene	ncRNA
285	chr16	64885199	64885451	+	0	NA	Intergenic	RMER10A|LTR|ERVL	33324	NM_178647	106143	Mm.10160	NM_178647	ENSMUSG00000054604	Cggbp1	AA960172|AL023996|AW045841	CGG triplet repeat binding protein 1	protein-coding
75	chr3	149332252	149332445	+	0	NA	Intergenic	Intergenic	57611	NR_040591	381482	Mm.393866	NR_040591		Gm1653	-	predicted gene 1653	ncRNA
