PeakID (cmd=annotatePeaks.pl DN1_more_accessible_peaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
222	chr14	121248350	121248646	+	0	NA	promoter-TSS (NR_155502)	promoter-TSS (NR_155502)	-208	NR_155502	320268	Mm.435974	NR_155502		B930095G15Rik	-	RIKEN cDNA B930095G15 gene	ncRNA
219	chr14	115831482	115831772	+	0	NA	intron (NM_175500, intron 7 of 7)	intron (NM_175500, intron 7 of 7)	-422075	NR_045761	75088	Mm.444706	NR_045761	ENSMUSG00000093551	4930505G20Rik	-	RIKEN cDNA 4930505G20 gene	ncRNA
65	chr4	16377576	16377761	+	0	NA	Intergenic	Lx5c|LINE|L1	213558	NR_045765	100415915	Mm.387180	NR_045765	ENSMUSG00000085112	A530072M11Rik	-	RIKEN cDNA gene A530072M11	ncRNA
210	chr13	109558370	109558607	+	0	NA	intron (NM_011056, intron 3 of 16)	intron (NM_011056, intron 3 of 16)	233744	NR_030644	100124489		NR_030644	ENSMUSG00000076946	Mir582	Mirn582|mir-582|mmu-mir-582	microRNA 582	ncRNA
201	chr13	81163277	81163464	+	0	NA	intron (NM_054053, intron 86 of 89)	intron (NM_054053, intron 86 of 89)	199296	NR_015587	319983	Mm.343027	NR_015587	ENSMUSG00000097098	9330111N05Rik	-	RIKEN cDNA 9330111N05 gene	ncRNA
122	chr7	144081424	144081622	+	0	NA	Intergenic	Intergenic	72269	NR_037292	100526562		NR_037292	ENSMUSG00000093221	Mir3105	mmu-mir-3105	microRNA 3105	ncRNA
154	chr10	130143710	130144297	+	0	NA	Intergenic	Intergenic	-16948	NM_146674	258669	Mm.377631	NM_146674	ENSMUSG00000095804	Olfr824	MOR210-3	olfactory receptor 824	protein-coding
206	chr13	91610601	91610878	+	0	NA	intron (NM_001360776, intron 4 of 15)	intron (NM_001360776, intron 4 of 15)	-130782	NM_028790	74156	Mm.275963	NM_028790	ENSMUSG00000021620	Acot12	1300004O04Rik|4930449F15Rik|AV027244|Cach|mCACH-1	acyl-CoA thioesterase 12	protein-coding
159	chr11	69390376	69390549	+	0	NA	TTS (NM_001045525)	TTS (NM_001045525)	4884	NM_001045525	327951	Mm.415669	NM_001045525	ENSMUSG00000044795	Cyb5d1	Gm740	cytochrome b5 domain containing 1	protein-coding
27	chr2	70425609	70426143	+	0	NA	intron (NM_177376, intron 33 of 34)	intron (NM_177376, intron 33 of 34)	-49047	NM_022435	64406	Mm.423397	NM_022435	ENSMUSG00000075304	Sp5	-	trans-acting transcription factor 5	protein-coding
119	chr7	119515602	119515906	+	0	NA	intron (NM_027943, intron 2 of 11)	intron (NM_027943, intron 2 of 11)	7728	NM_027943	71830	Mm.84631	NM_027943	ENSMUSG00000030968	Pdilt	1700007B13Rik	protein disulfide isomerase-like, testis expressed	protein-coding
199	chr13	56554534	56554983	+	0	NA	Intergenic	Intergenic	-6220	NM_010702	16841	Mm.16973	NM_010702	ENSMUSG00000021539	Lect2	-	leukocyte cell-derived chemotaxin 2	protein-coding
