PeakID (cmd=annotatePeaks.pl DN1_less_accessible_peaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1322	chr11	114924036	114924254	+	0	NA	3' UTR (NM_001347651, exon 4 of 4)	3' UTR (NM_001347651, exon 4 of 4)	10226	NM_001347651	217304	Mm.185355	NM_199221	ENSMUSG00000063193	Cd300lb	CLM-7|Clm7|Gm253|LMIR5	CD300 molecule like family member B	protein-coding
225	chr2	90553929	90554122	+	0	NA	intron (NM_008982, intron 1 of 23)	intron (NM_008982, intron 1 of 23)	26622	NM_008982	19271	Mm.330393	NM_008982	ENSMUSG00000025314	Ptprj	AI450271|BET|Byp|CD148|DEP-1|PTPbeta2|Ptpb2|RPTPJ|Scc-1|Scc1	protein tyrosine phosphatase, receptor type, J	protein-coding
1577	chr14	55854155	55854434	+	0	NA	exon (NM_001040072, exon 1 of 8)	exon (NM_001040072, exon 1 of 8)	179	NM_001040072	277154	Mm.319347	NM_001040072	ENSMUSG00000075592	Nynrin	AA409373|C80530|mKIAA1305	NYN domain and retroviral integrase containing	protein-coding
159	chr2	18249264	18249514	+	0	NA	intron (NM_007869, intron 8 of 11)	CT-rich|Low_complexity|Low_complexity	143441	NM_001190817	13418	Mm.246674	NM_007869	ENSMUSG00000026740	Dnajc1	4733401K02Rik|AA960110|D230036H06Rik|Dnajl1|ERdj1|ERj1p|MTJ1	DnaJ heat shock protein family (Hsp40) member C1	protein-coding
477	chr4	63630884	63631121	+	0	NA	Intergenic	RMER1A|Other|Other	-3419	NR_151544	102632940	Mm.399154	NR_151544	ENSMUSG00000086817	Gm11482	-	predicted gene 11482	ncRNA
1002	chr8	94778983	94779654	+	0	NA	intron (NM_009142, intron 2 of 2)	intron (NM_009142, intron 2 of 2)	7138	NM_009142	20312	Mm.103711	NM_009142	ENSMUSG00000031778	Cx3cl1	AB030188|ABCD-3|AI848747|CX3C|Cxc3|D8Bwg0439e|Scyd1	chemokine (C-X3-C motif) ligand 1	protein-coding
853	chr7	64122433	64122678	+	0	NA	Intergenic	Intergenic	-31280	NM_001039104	17364	Mm.38875	NM_018752	ENSMUSG00000030523	Trpm1	4732499L03Rik|AI606771|Ltrpc1|Mlsn1	transient receptor potential cation channel, subfamily M, member 1	protein-coding
1973	chr19	20062478	20062663	+	0	NA	Intergenic	RLTR48A|LTR|ERV1	328101	NM_010730	16952	Mm.248360	NM_010730	ENSMUSG00000024659	Anxa1	Anx-1|Anx-A1|C430014K04Rik|Lpc-1|Lpc1	annexin A1	protein-coding
157	chr2	14312502	14312774	+	0	NA	intron (NM_008625, intron 21 of 29)	intron (NM_008625, intron 21 of 29)	51635	NR_030609	100124488		NR_030609	ENSMUSG00000077897	Mir511	Mirn511|mir-511|mmu-mir-511	microRNA 511	ncRNA
1740	chr16	57856676	57856970	+	0	NA	Intergenic	Intergenic	-102086	NM_007739	12837	Mm.130388	NM_007739	ENSMUSG00000068196	Col8a1	Col8a-1	collagen, type VIII, alpha 1	protein-coding
